奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,525937
二十二,郭柯 Ke Guo,2015,8.7,279327
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.8,353452
无耻混蛋,Quentin Tarantino,2009,8.6,444623
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,271120
血钻,爱德华·兹威克 Edward Zwick,2006,8.7,356201
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,453814
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,8.5,528816
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.7,382240
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,1940,8.8,260861
步履不停,是枝裕和 Hirokazu Koreeda,2008,8.8,260923
战争之王,安德鲁·尼科尔 Andrew Niccol,2005,8.7,343034
爱乐之城,达米恩·查泽雷 Damien Chazelle,2016,8.4,824119
谍影重重2,保罗·格林格拉斯 Paul Greengrass,2004,8.7,331393
末路狂花,雷德利·斯科特 Ridley Scott,1991,8.9,224092
燃情岁月,爱德华·兹威克 Edward Zwick,1994,8.8,271371
火星救援,雷德利·斯科特 Ridley Scott,2015,8.5,673988
千年女优,今敏 Satoshi Kon,2001,8.8,241088
阿飞正传,王家卫 Kar Wai Wong,1990,8.5,476261
再次出发之纽约遇见你,约翰·卡尼 John Carney,2013,8.6,403848
谍影重重,道格·里曼 Doug Liman,2002,8.6,399006
朗读者,史蒂芬·戴德利 Stephen Daldry,2008,8.6,434831
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,9.1,151696
花束般的恋爱,土井裕泰 Nobuhiro Doi,2021,8.6,505374
香水,汤姆·提克威 Tom Tykwer,2006,8.5,518337
穿越时空的少女,细田守 Mamoru Hosoda,2006,8.6,362367
地球上的星星,阿米尔·汗 Aamir Khan,2007,8.9,193643
我爱你,秋昌民 Chang-min Choo,2011,9.0,156280
完美陌生人,保罗·格诺维瑟 Paolo Genovese,2016,8.5,499020
弱点,约翰·李·汉考克 John Lee Hancock,2009,8.7,276015
哈利·波特与死亡圣器(上),大卫·叶茨 David Yates,2010,8.5,517996
